detector_name,split,accuracy,precision,recall,f1,roc_auc,tpr_at_1pct_fpr,threshold,tn,fp,fn,tp,num_samples
svm_tfidf,test,0.9935195671322512,0.9902838635930653,0.9900952380952381,0.9901895418611296,0.9997633721658524,0.9958095238095238,0.5,10593,51,52,5198,15894
xgboost_tfidf,test,0.9851516295457405,0.9663318452380952,0.9895238095238095,0.9777903256164125,0.9991456398418068,0.9805714285714285,0.5,10463,181,55,5195,15894
svm_tfidf,train,0.9999639938069348,0.9999455663817974,0.9999455663817974,0.9999455663817974,0.9999919832129212,0.9999455663817974,0.5,37174,1,1,18370,55546
xgboost_tfidf,train,0.9891981420804379,0.9769201867854651,0.9907462849055577,0.9837846602886331,0.9995257803216577,0.9896576125415056,0.5,36745,430,170,18201,55546
svm_tfidf,val,0.9951837769328263,0.9908849221420433,0.9946626000762485,0.9927701674277016,0.9996574098315778,0.9980937857415173,0.5,5243,24,14,2609,7890
xgboost_tfidf,val,0.9859315589353612,0.9676098287416233,0.9908501715592832,0.979092107741571,0.9990935077172542,0.9763629431948151,0.5,5180,87,24,2599,7890
