detector_name,split,fpr,tpr,threshold
svm_tfidf,test,0.0,0.0,inf
svm_tfidf,test,0.0,0.00019047619047619048,0.9999999987641828
svm_tfidf,test,0.0,0.8845714285714286,0.9893593344668723
svm_tfidf,test,9.394964299135663e-05,0.8845714285714286,0.9893409681775915
svm_tfidf,test,9.394964299135663e-05,0.9268571428571428,0.9745087387277698
svm_tfidf,test,0.00018789928598271326,0.9268571428571428,0.9742845136948356
svm_tfidf,test,0.00018789928598271326,0.936952380952381,0.9669592418023438
svm_tfidf,test,0.0002818489289740699,0.936952380952381,0.9664139091293092
svm_tfidf,test,0.0002818489289740699,0.9577142857142857,0.935539013994996
svm_tfidf,test,0.0003757985719654265,0.9577142857142857,0.9352166414184053
svm_tfidf,test,0.0003757985719654265,0.9596190476190476,0.92900405810345
svm_tfidf,test,0.00046974821495678314,0.9596190476190476,0.9288612722040844
svm_tfidf,test,0.00046974821495678314,0.9598095238095238,0.927442648763114
svm_tfidf,test,0.0005636978579481398,0.9598095238095238,0.9272089331517811
svm_tfidf,test,0.0005636978579481398,0.96,0.9270702341620352
svm_tfidf,test,0.0006576475009394964,0.96,0.926404375882142
svm_tfidf,test,0.0006576475009394964,0.9634285714285714,0.9177403712740821
svm_tfidf,test,0.000751597143930853,0.9634285714285714,0.916541702073066
svm_tfidf,test,0.000751597143930853,0.9660952380952381,0.9004785236410525
svm_tfidf,test,0.0008455467869222097,0.9660952380952381,0.8995020828130302
svm_tfidf,test,0.0008455467869222097,0.9697142857142858,0.8879091892438068
svm_tfidf,test,0.0009394964299135663,0.9697142857142858,0.8865829047217126
svm_tfidf,test,0.0009394964299135663,0.9716190476190476,0.8745745912109563
svm_tfidf,test,0.001033446072904923,0.9716190476190476,0.873631291811907
svm_tfidf,test,0.001033446072904923,0.9733333333333334,0.8565661075730993
svm_tfidf,test,0.0011273957158962795,0.9733333333333334,0.8558507638593164
svm_tfidf,test,0.0011273957158962795,0.9740952380952381,0.8485510507522555
svm_tfidf,test,0.0012213453588876362,0.9740952380952381,0.8475964350745182
svm_tfidf,test,0.0012213453588876362,0.9773333333333334,0.8151433857389544
svm_tfidf,test,0.0013152950018789928,0.9773333333333334,0.8138443236299573
svm_tfidf,test,0.0013152950018789928,0.9779047619047619,0.8080434413635212
