fpr,tpr,threshold
0.0,0.0,inf
0.0,0.001006036217303823,0.7432221114635467
0.001006036217303823,0.001006036217303823,0.6303956747055057
0.001006036217303823,0.002012072434607646,0.5074461579322813
0.002012072434607646,0.002012072434607646,0.46631567478179914
0.002012072434607646,0.0030181086519114686,0.41142081022262555
0.007042253521126761,0.0030181086519114686,0.32250943183898917
0.007042253521126761,0.004024144869215292,0.322216582298279
0.008048289738430584,0.004024144869215292,0.3187985062599181
0.008048289738430584,0.005030181086519115,0.3177712440490721
0.009054325955734407,0.005030181086519115,0.30329219102859506
0.009054325955734407,0.008048289738430584,0.28080960512161246
0.011066398390342052,0.008048289738430584,0.25418671369552603
0.011066398390342052,0.009054325955734407,0.246568500995636
0.013078470824949699,0.009054325955734407,0.24418822526931772
0.013078470824949699,0.01006036217303823,0.24078142642974854
0.01710261569416499,0.01006036217303823,0.22359144687652588
0.01710261569416499,0.012072434607645875,0.2178486943244935
0.02012072434607646,0.012072434607645875,0.2045221805572508
0.02012072434607646,0.013078470824949699,0.2000649452209471
0.026156941649899398,0.013078470824949699,0.18420960903167716
0.026156941649899398,0.014084507042253521,0.18381394147872943
0.028169014084507043,0.014084507042253521,0.17905993461608904
0.028169014084507043,0.015090543259557344,0.17689220905303937
0.03319919517102616,0.015090543259557344,0.1682121455669403
0.03319919517102616,0.01609657947686117,0.1679161071777342
0.03420523138832998,0.01609657947686117,0.16642975807189941
0.03420523138832998,0.01710261569416499,0.16569253206253087
0.03621730382293763,0.01710261569416499,0.15920068025589007
0.03621730382293763,0.018108651911468814,0.1585616588592531
0.04024144869215292,0.018108651911468814,0.15060367584228507
0.04024144869215292,0.019114688128772636,0.14986406564712507
0.04225352112676056,0.019114688128772636,0.1469078302383422
0.04225352112676056,0.02112676056338028,0.14322718381881705
0.04527162977867203,0.02112676056338028,0.1411570668220521
0.04527162977867203,0.022132796780684104,0.13897645473480225
0.047283702213279676,0.022132796780684104,0.13847492933273298
0.047283702213279676,0.02414486921529175,0.1367878556251525
0.0482897384305835,0.02414486921529175,0.13531023263931274
0.0482897384305835,0.025150905432595575,0.13495038747787458
0.04929577464788732,0.025150905432595575,0.13424848318099958
0.04929577464788732,0.026156941649899398,0.13396852016448957
0.05030181086519115,0.026156941649899398,0.13011218309402484
0.05030181086519115,0.02716297786720322,0.129783034324646
0.05331991951710262,0.02716297786720322,0.12858725786209124
0.05331991951710262,0.028169014084507043,0.1281555414199831
0.05432595573440644,0.028169014084507043,0.12770310640335092
0.05432595573440644,0.029175050301810865,0.12757610082626325
0.056338028169014086,0.029175050301810865,0.12675117254257184
0.056338028169014086,0.030181086519114688,0.12600783109664881
0.0613682092555332,0.030181086519114688,0.12053618431091317
0.0613682092555332,0.03118712273641851,0.11927179098129281
0.06438631790744467,0.03118712273641851,0.11569783687591562
0.06438631790744467,0.03219315895372234,0.11541122198104858
0.06639839034205232,0.03219315895372234,0.11301521062850961
0.06639839034205232,0.03319919517102616,0.11295949816703788
0.06841046277665996,0.03319919517102616,0.11157870292663574
0.06841046277665996,0.03420523138832998,0.11098253726959229
0.07042253521126761,0.03420523138832998,0.1105103850364686
0.07042253521126761,0.035211267605633804,0.11036520004272443
0.07142857142857142,0.035211267605633804,0.11007355451583845
