fpr,tpr,threshold
0.0,0.0,inf
0.0,0.00024721878862793575,0.5818137526512146
0.0,0.002719406674907293,0.23172585964202863
0.00024721878862793575,0.002719406674907293,0.22140588760375968
0.00024721878862793575,0.0029666254635352285,0.20829877853393564
0.0004944375772558715,0.0029666254635352285,0.20644844770431536
0.0004944375772558715,0.0032138442521631645,0.20487463474273682
0.000988875154511743,0.0032138442521631645,0.1998412013053894
0.000988875154511743,0.005933250927070457,0.16205646395683293
0.0012360939431396785,0.005933250927070457,0.16051279306411725
0.0012360939431396785,0.008158220024721878,0.14644424915313703
0.00173053152039555,0.008158220024721878,0.14525749683380118
0.00173053152039555,0.011866501854140914,0.13285183906555176
0.001977750309023486,0.011866501854140914,0.13244428634643546
0.001977750309023486,0.012608158220024722,0.1289588212966919
0.0022249690976514215,0.012608158220024722,0.12891553640365583
0.0022249690976514215,0.01334981458590853,0.1275636851787567
0.002472187886279357,0.01334981458590853,0.1262964367866517
0.002472187886279357,0.013597033374536464,0.12603259086608887
0.0034610630407911,0.013597033374536464,0.1245564579963685
0.0034610630407911,0.01508034610630408,0.12101267576217634
0.003708281829419036,0.01508034610630408,0.12097259759902945
0.003708281829419036,0.015327564894932014,0.1202038288116456
0.003955500618046972,0.015327564894932014,0.12014737129211417
0.003955500618046972,0.01557478368355995,0.12005016803741464
0.004202719406674907,0.01557478368355995,0.11904778480529776
0.004202719406674907,0.016069221260815822,0.11746947765350324
0.004449938195302843,0.016069221260815822,0.11654490232467651
0.004449938195302843,0.017058096415327566,0.11550731658935565
0.004697156983930779,0.017058096415327566,0.11536891460418719
0.004697156983930779,0.0173053152039555,0.11529471874237052
0.004944375772558714,0.0173053152039555,0.11523133516311646
0.004944375772558714,0.017552533992583438,0.11504833698272687
0.00519159456118665,0.017552533992583438,0.11501674652099592
0.00519159456118665,0.017799752781211372,0.11488975286483782
0.005438813349814586,0.017799752781211372,0.11459325551986677
0.005438813349814586,0.020024721878862794,0.11242284774780265
0.005686032138442522,0.020024721878862794,0.11104350090026838
0.005686032138442522,0.020271940667490728,0.11097890138626099
0.006427688504326329,0.020271940667490728,0.11008670330047599
0.006427688504326329,0.022744128553770088,0.10689814090728755
0.006674907292954265,0.022744128553770088,0.10640512704849225
0.006674907292954265,0.022991347342398022,0.10633813142776471
0.0069221260815822,0.022991347342398022,0.1060683608055113
0.0069221260815822,0.02323856613102596,0.10600066184997559
0.007416563658838072,0.02323856613102596,0.10548565387725839
0.007416563658838072,0.023485784919653894,0.10520020723342904
0.007911001236093944,0.023485784919653894,0.10498056411743173
0.007911001236093944,0.0242274412855377,0.10465714931488046
0.008405438813349814,0.0242274412855377,0.10430126190185529
0.008405438813349814,0.024474660074165638,0.10410585403442374
0.008899876390605686,0.024474660074165638,0.10398041009902936
